produtor,regiao,tecnico,num_galpao,tipo_instalacao,nutricao,area,genetica,origem,peso_pintinho_kg,data_alojamento,aves_alojadas,data_abate,aves_abatidas,vazio_dias,densidade_aves_m2,idade_media_dias,peso_abatido_kg,peso7,peso14,peso21,peso28,peso35,peso42,peso49,pct_mort7,pct_mort14,pct_mort21,pct_mort28,pct_mort35,pct_mort42,pct_mort49,racao_pre,racaoinicial,racao_cres1,racao_cres2,racao_final,racao_total,sobra_racao,peso_medio_kg,duracao_ciclo_dias,data_alojamento_ano,data_alojamento_mes,data_alojamento_dia,data_abate_ano,data_abate_mes,data_abate_dia,peso_medio_calculado_kg,racao_total_por_ave,sobra_racao_pct,ganho_peso_kg,taxa_abate,mortalidade_total_pct,predicted_peso_medio_kg
P147,Regiao_1,Tecnico_1,3,Tipo_1,N_3,2508,G_1,Origem_15,0.046,2015-11-11 00:00:00.000,32200,2016-01-04,31520,13.0,12.839,50.338,98820,0.175,0.461,0.85,1.48,2.025,2.55,2.55,0.7484472049,1.2950310559,1.6335403726,1.9720496894,2.3385093167,2.9068322981,3.3385093167,6036,30004,22018,92009,22994,173061,13810,3.135152284263959,54,2015,11,11,2016,1,4,3.135152284263959,5.3745652173913046,0.07979845256874743,3.0891522842639594,0.9788819875776398,3.3385093167,3.1903888882671123
P61,Regiao_2,Tecnico_2,2,Tipo_2,N_2,2100,G_1,Origem_20,0.042,2015-11-13 00:00:00.000,28500,2016-01-04,25630,15.0,13.571,52.312,88460,0.185,0.475,0.954,1.502,2.2,2.796,3.323,4.4736842105,5.347368421,5.6701754385,6.0385964912,6.3824561403,7.3087719298,10.6596491228,6292,25993,18965,89987,21883,163120,1960,3.4514241123683185,52,2015,11,13,2016,1,4,3.4514241123683185,5.723508771929825,0.012015693967631191,3.4094241123683187,0.899298245614035,10.6596491228,3.3287540533803903
P61,Regiao_2,Tecnico_2,4,Tipo_2,N_3,2400,G_1,Origem_20,0.047,2015-11-13 00:00:00.000,31500,2016-01-04,29162,15.0,13.125,52.411,98870,0.195,0.5,0.985,1.479,2.18,2.7,3.22,1.3809523809,1.8761904761,2.2317460317,3.0253968253,5.0857142857,6.1777777777,7.1873015873,6301,30005,20711,95995,29382,182394,700,3.3903710307934984,52,2015,11,13,2016,1,4,3.3903710307934984,5.790285714285714,0.003837845543164797,3.3433710307934983,0.9257777777777778,7.1873015873,3.342445568838869
P61,Regiao_2,Tecnico_2,5,Tipo_1,N_2,2400,G_1,Origem_5,0.041,2015-11-13 00:00:00.000,30700,2016-01-04,29584,15.0,12.792,52.809,103440,0.182,0.47,0.93,1.57,2.2,2.78,3.39,0.3843648208,1.1009771986,1.3908794788,1.8110749185,2.3843648208,3.2149837133,3.8110749185,6288,28998,21348,95224,35729,187587,2210,3.4964845862628446,52,2015,11,13,2016,1,4,3.4964845862628446,6.110325732899023,0.01178120018977861,3.4554845862628447,0.9636482084690554,3.8110749185,3.4123547050674916
P61,Regiao_2,Tecnico_2,6,Tipo_1,N_3,2400,G_1,Origem_5,0.041,2015-11-13 00:00:00.000,30700,2016-01-04,29500,15.0,12.792,52.607,101580,0.185,0.48,0.935,1.57,2.23,2.77,3.37,0.3843648208,0.651465798,0.8241042345,1.0456026058,1.5439739413,2.306188925,3.2964169381,6302,29016,20026,91114,36602,183060,1610,3.4433898305084747,52,2015,11,13,2016,1,4,3.4433898305084747,5.9628664495114005,0.008794930623839178,3.4023898305084748,0.9609120521172638,3.2964169381,3.4327427672998776
P61,Regiao_2,Tecnico_2,7,Tipo_1,N_2,2400,G_1,Origem_5,0.043,2015-11-13 00:00:00.000,30700,2016-01-04,28936,15.0,12.792,52.458,102280,0.19,0.495,1.0,1.61,2.23,2.8,3.38,0.8469055374,1.302931596,1.7100977198,2.1596091205,2.8925081433,4.325732899,5.1726384364,6294,28991,21092,95907,32940,185224,0,3.534697262925076,52,2015,11,13,2016,1,4,3.534697262925076,6.033355048859935,0.0,3.4916972629250758,0.9425407166123778,5.1726384364,3.4417309530942646
P61,Regiao_2,Tecnico_2,8,Tipo_1,N_3,2400,G_1,Origem_22,0.0453225806,2015-11-13 00:00:00.000,31000,2016-01-04,30030,15.0,12.917,52.401,106910,0.18,0.475,0.95,1.62,2.28,2.85,3.44,0.7903225806,1.2580645161,1.8064516129,2.3129032258,2.764516129,3.3129032258,4.1516129032,6332,29000,21008,102092,32985,191417,0,3.56010656010656,52,2015,11,13,2016,1,4,3.56010656010656,6.174741935483871,0.0,3.51478397950656,0.9687096774193549,4.1516129032,3.440589359909927
P66,Regiao_1,Tecnico_1,1,Tipo_1,N_3,1500,G_1,Origem_5,0.038,2015-11-13 00:00:00.000,17800,2016-01-04,17058,10.0,11.867,52.132,55560,0.17,0.435,0.85,1.4,1.95,2.54,2.54,0.7808988764,1.202247191,1.7471910112,2.0280898876,2.4382022471,2.8707865168,3.4775280898,3298,16888,12012,36077,33545,101820,7370,3.2571227576503694,52,2015,11,13,2016,1,4,3.2571227576503694,5.7202247191011235,0.07238263602435671,3.2191227576503696,0.958314606741573,3.4775280898,3.158310210188679
P174,Regiao_3,Tecnico_3,1,Tipo_1,N_3,2400,G_1,Origem_22,0.046,2015-11-14 00:00:00.000,31721,2016-01-05,30162,11.0,13.217,52.142,95420,0.175,0.47,0.93,1.49,2.13,2.68,3.15,1.1033700072,1.7181047255,1.9892184987,2.2382648718,2.6323255887,3.0736735916,3.9406071687,6500,29003,20984,86955,36585,180027,4470,3.163583316756183,52,2015,11,14,2016,1,5,3.163583316756183,5.675325494152139,0.024829608891999533,3.1175833167561833,0.9508527473913181,3.9406071687,3.2651951366294423
P36,Regiao_3,Tecnico_1,1,Tipo_1,N_3,2400,G_1,Origem_5,0.045,2015-11-14 00:00:00.000,30700,2016-01-04,29711,15.0,12.792,51.048,94230,0.185,0.475,0.895,1.51,2.05,2.555,2.555,0.3550488599,0.8859934853,1.1563517915,1.4397394136,1.9381107491,3.1368078175,3.5309446254,6009,29019,21004,60061,52430,168523,7950,3.1715526236074183,51,2015,11,14,2016,1,4,3.1715526236074183,5.489348534201954,0.047174569643312785,3.1265526236074184,0.9677850162866449,3.5309446254,3.224155251683569
