,dtype,missing_count,missing_pct,n_unique
vazio_dias,float64,1,0.02,74
ganho_peso_kg,float64,0,0.0,5813
peso_medio_kg,float64,0,0.0,5807
peso_medio_calculado_kg,float64,0,0.0,5807
racao_total_por_ave,float64,0,0.0,5801
racao_total,int64,0,0.0,5643
racao_final,int64,0,0.0,5450
pct_mort49,float64,0,0.0,5339
mortalidade_total_pct,float64,0,0.0,5339
pct_mort42,float64,0,0.0,5312
pct_mort35,float64,0,0.0,5286
pct_mort28,float64,0,0.0,5227
pct_mort21,float64,0,0.0,5118
pct_mort14,float64,0,0.0,5098
taxa_abate,float64,0,0.0,4911
pct_mort7,float64,0,0.0,4853
racao_cres2,int64,0,0.0,4301
sobra_racao_pct,float64,0,0.0,4233
idade_media_dias,float64,0,0.0,4013
aves_abatidas,int64,0,0.0,3635
peso_abatido_kg,int64,0,0.0,3607
racaoinicial,int64,0,0.0,2378
racao_cres1,int64,0,0.0,2081
racao_pre,int64,0,0.0,1669
sobra_racao,int64,0,0.0,1269
peso49,float64,0,0.0,947
data_alojamento,datetime64[us],0,0.0,915
densidade_aves_m2,float64,0,0.0,882
peso_pintinho_kg,float64,0,0.0,734
data_abate,datetime64[us],0,0.0,731
peso42,float64,0,0.0,685
peso35,float64,0,0.0,559
peso28,float64,0,0.0,492
aves_alojadas,int64,0,0.0,416
peso21,float64,0,0.0,372
produtor,str,0,0.0,333
peso14,float64,0,0.0,259
peso7,float64,0,0.0,123
area,int64,0,0.0,61
duracao_ciclo_dias,int64,0,0.0,27
origem,str,0,0.0,22
tipo_instalacao,str,0,0.0,16
regiao,str,0,0.0,15
tecnico,str,0,0.0,12
num_galpao,int64,0,0.0,10
nutricao,str,0,0.0,5
genetica,str,0,0.0,5
