,count,mean,std,min,25%,50%,75%,max
num_galpao,5813.0,1.6537,1.1138,1.0,1.0,1.0,2.0,10.0
area,5813.0,2199.0126,417.3199,0.0,2175.0,2400.0,2400.0,6150.0
peso_pintinho_kg,5813.0,103.1782,7861.5831,0.0,0.041,0.044,0.046,599391.0
aves_alojadas,5813.0,29049.1202,5167.8485,7600.0,28600.0,31000.0,32000.0,64000.0
aves_abatidas,5813.0,27670.9339,4961.9543,4314.0,27034.0,29395.0,30752.0,41236.0
vazio_dias,5812.0,19.3009,8.8455,-43.0,15.0,20.0,23.0,322.0
densidade_aves_m2,5813.0,14.4196,48.0342,0.0,12.708,13.208,13.583,1843.75
idade_media_dias,5813.0,49.4784,2.3928,37.93,48.18,49.354,50.948,66.731
peso_abatido_kg,5813.0,91678.2109,18474.0872,12590.0,84970.0,96250.0,103640.0,137740.0
peso7,5813.0,0.2451,2.9435,0.0,0.17,0.184,0.194,185.0
peso14,5813.0,0.714,9.5025,0.0,0.45,0.48,0.5,450.0
peso21,5813.0,1.5588,23.6188,0.0,0.9,0.95,0.99,984.0
peso28,5813.0,1.7384,16.6377,0.0,1.462,1.52,1.59,1270.0
peso35,5813.0,3.2653,48.7041,0.0,2.097,2.18,2.25,2314.0
peso42,5813.0,6.0246,94.0051,0.0,2.7,2.8,2.9,3093.0
peso49,5813.0,6.4669,101.0638,0.0,2.75,2.9,3.3,3520.0
pct_mort7,5813.0,1.4499,1.6413,0.0,0.6798,0.9844,1.5818,31.5774
pct_mort14,5813.0,1.965,1.7919,0.0,1.0536,1.4686,2.2149,32.9903
pct_mort21,5813.0,2.3305,1.8686,0.0,1.3353,1.8171,2.6677,33.1677
pct_mort28,5813.0,2.6297,1.9118,0.0,1.59,2.1123,3.0156,33.3435
pct_mort35,5813.0,3.0733,2.3527,0.0,1.9323,2.5241,3.5524,93.0129
pct_mort42,5813.0,3.6918,2.4617,0.0,2.4036,3.1287,4.308,93.0452
pct_mort49,5813.0,4.4274,2.7885,0.0,2.9811,3.865,5.1688,93.0903
racao_pre,5813.0,5701.7098,1002.319,1595.0,5794.0,6004.0,6288.0,9510.0
racaoinicial,5813.0,26903.7728,4962.5345,5997.0,26904.0,29108.0,30014.0,44986.0
racao_cres1,5813.0,18954.6565,3784.7131,2991.0,17769.0,20958.0,21029.0,30011.0
racao_cres2,5813.0,69175.4449,17448.7671,14975.0,59962.0,72042.0,80904.0,129098.0
racao_final,5813.0,40880.5586,14957.3154,5707.0,30084.0,39994.0,50049.0,109836.0
racao_total,5813.0,161616.1424,32639.1153,39214.0,149663.0,168838.0,182226.0,259961.0
sobra_racao,5813.0,3036.2181,3690.938,0.0,0.0,2030.0,4300.0,28407.0
peso_medio_kg,5813.0,3.3097,0.2764,2.2477,3.131,3.3029,3.4859,4.5896
duracao_ciclo_dias,5813.0,49.3551,2.5066,38.0,48.0,49.0,51.0,66.0
peso_medio_calculado_kg,5813.0,3.3097,0.2764,2.2477,3.131,3.3029,3.4859,4.5896
racao_total_por_ave,5813.0,5.5626,0.5344,2.8893,5.2322,5.5339,5.8841,8.6994
sobra_racao_pct,5813.0,0.02,0.0257,0.0,0.0,0.0128,0.0275,0.2374
ganho_peso_kg,5813.0,-99.8684,7861.5822,-599387.6185,3.0779,3.2541,3.4389,4.5476
taxa_abate,5813.0,0.9528,0.0293,0.1428,0.9451,0.9583,0.9675,1.0155
mortalidade_total_pct,5813.0,4.4274,2.7885,0.0,2.9811,3.865,5.1688,93.0903
